SF_Id,Name,Stage,Field,Before,After,Source,Timestamp,Action
006WR00000wkEb8YAE,The Bungalows on the Lake at Prairie Queen,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEb9YAE,The Bungalows on the Lake at Prairie Queen_The View,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbAYAU,1010 on the Lake,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbBYAU,The Beckham,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbCYAU,Azle Village,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbCYAU,Azle Village,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbDYAU,Heritage Oaks,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbDYAU,Heritage Oaks,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbEYAU,Big Oaks Estates,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbEYAU,Big Oaks Estates,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbFYAU,Southern Hills Manufactured Home Community,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbFYAU,Southern Hills Manufactured Home Community,PAL/ROE Complete,Loss_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
006WR00000wkEbGYAU,Sahara & Playa Palms Apartments,PAL/ROE Complete,Hold_Reason__c,Other,,fix/2026-05-12-clear-stale-substatus-fields.py,2026-05-12T11:09:20,cleared
